"subject","trial","phase","condition","look","outcome"
12,145,"test","cs_minus_ns",NA,NA
12,146,"test","cs_plus_ns",NA,NA
12,147,"test","cs_plus_s",NA,NA
12,148,"test","cs_minus_s",NA,NA
12,149,"test","cs_minus_s",NA,NA
12,150,"test","cs_plus_s",NA,NA
12,151,"test","cs_minus_ns",NA,NA
12,152,"test","cs_plus_ns",NA,NA
13,1,"acquisition","cs_minus_s",1,"reward"
13,2,"acquisition","cs_plus_s",1,"shock"
13,3,"acquisition","cs_plus_s",1,"shock"
13,4,"acquisition","cs_minus_ns",1,"reward"
13,5,"acquisition","cs_minus_ns",1,"reward"
13,6,"acquisition","cs_plus_s",1,"shock"
13,7,"acquisition","cs_minus_s",1,"reward"
13,8,"acquisition","cs_plus_ns",1,"shock"
13,9,"acquisition","cs_minus_s",1,"reward"
13,10,"acquisition","cs_plus_ns",1,"shock"
13,11,"acquisition","cs_minus_ns",1,"reward"
13,12,"acquisition","cs_minus_s",1,"reward"
13,13,"acquisition","cs_plus_s",1,"shock"
13,14,"acquisition","cs_plus_ns",1,"shock"
13,15,"acquisition","cs_minus_ns",1,"reward"
13,16,"acquisition","cs_plus_ns",1,"shock"
13,17,"acquisition","cs_minus_ns",1,"reward"
13,18,"acquisition","cs_minus_ns",1,"reward"
13,19,"acquisition","cs_minus_s",1,"reward"
13,20,"acquisition","cs_plus_ns",1,"shock"
13,21,"acquisition","cs_plus_ns",1,"shock"
13,22,"acquisition","cs_plus_ns",1,"shock"
13,23,"acquisition","cs_minus_ns",1,"reward"
13,24,"acquisition","cs_plus_s",1,"shock"
13,25,"acquisition","cs_plus_ns",1,"shock"
13,26,"acquisition","cs_minus_s",1,"reward"
13,27,"acquisition","cs_plus_s",1,"shock"
13,28,"acquisition","cs_minus_s",1,"reward"
13,29,"acquisition","cs_minus_ns",1,"reward"
13,30,"acquisition","cs_plus_s",1,"shock"
13,31,"acquisition","cs_plus_s",1,"shock"
13,32,"acquisition","cs_minus_s",1,"reward"
13,33,"acquisition","cs_minus_s",1,"reward"
13,34,"acquisition","cs_minus_s",1,"reward"
13,35,"acquisition","cs_plus_ns",1,"shock"
13,36,"acquisition","cs_minus_ns",1,"reward"
13,37,"acquisition","cs_plus_s",0,NA
13,38,"acquisition","cs_minus_ns",1,"reward"
13,39,"acquisition","cs_plus_ns",0,NA
13,40,"acquisition","cs_plus_ns",1,"shock"
13,41,"acquisition","cs_plus_s",0,NA
13,42,"acquisition","cs_plus_ns",0,NA
13,43,"acquisition","cs_plus_s",1,"shock"
13,44,"acquisition","cs_minus_ns",1,"reward"
13,45,"acquisition","cs_minus_s",1,"reward"
13,46,"acquisition","cs_minus_s",1,"reward"
13,47,"acquisition","cs_minus_ns",1,"reward"
13,48,"acquisition","cs_plus_s",0,NA
13,49,"acquisition","cs_minus_s",1,"reward"
13,50,"acquisition","cs_plus_s",0,NA
13,51,"acquisition","cs_plus_ns",0,NA
13,52,"acquisition","cs_minus_s",1,"reward"
13,53,"acquisition","cs_plus_s",1,"shock"
13,54,"acquisition","cs_plus_ns",1,"shock"
13,55,"acquisition","cs_plus_s",0,NA
13,56,"acquisition","cs_minus_ns",1,"reward"
13,57,"acquisition","cs_minus_ns",1,"reward"
13,58,"acquisition","cs_minus_s",1,"reward"
13,59,"acquisition","cs_minus_ns",1,"reward"
13,60,"acquisition","cs_plus_ns",1,"shock"
13,61,"acquisition","cs_minus_ns",1,"reward"
13,62,"acquisition","cs_plus_s",1,"shock"
13,63,"acquisition","cs_plus_ns",1,"shock"
13,64,"acquisition","cs_minus_s",1,"reward"
13,65,"acquisition","cs_plus_ns",0,NA
13,66,"acquisition","cs_minus_s",1,"reward"
13,67,"acquisition","cs_plus_ns",1,"shock"
13,68,"acquisition","cs_plus_s",0,NA
13,69,"acquisition","cs_minus_ns",0,NA
13,70,"acquisition","cs_plus_ns",1,"shock"
13,71,"acquisition","cs_minus_ns",1,"reward"
13,72,"acquisition","cs_plus_s",0,NA
13,73,"acquisition","cs_minus_s",1,"reward"
13,74,"acquisition","cs_plus_s",0,NA
13,75,"acquisition","cs_minus_s",1,"reward"
13,76,"acquisition","cs_minus_ns",1,"reward"
13,77,"acquisition","cs_minus_s",1,"reward"
13,78,"acquisition","cs_plus_s",0,NA
13,79,"acquisition","cs_minus_ns",1,"reward"
13,80,"acquisition","cs_plus_ns",0,NA
13,81,"acquisition","cs_plus_ns",0,NA
13,82,"acquisition","cs_minus_ns",1,"reward"
13,83,"acquisition","cs_plus_ns",1,"shock"
13,84,"acquisition","cs_minus_s",1,"reward"
13,85,"acquisition","cs_minus_s",1,"reward"
13,86,"acquisition","cs_plus_ns",0,NA
13,87,"acquisition","cs_plus_s",1,"shock"
13,88,"acquisition","cs_plus_s",0,NA
13,89,"acquisition","cs_minus_s",1,"reward"
13,90,"acquisition","cs_plus_s",1,"shock"
13,91,"acquisition","cs_plus_s",1,"shock"
13,92,"acquisition","cs_minus_ns",1,"reward"
13,93,"acquisition","cs_plus_ns",1,"shock"
13,94,"acquisition","cs_minus_ns",1,"reward"
13,95,"acquisition","cs_minus_ns",1,"reward"
13,96,"acquisition","cs_minus_s",1,"reward"
13,97,"acquisition","cs_plus_s",0,NA
13,98,"acquisition","cs_plus_ns",1,"shock"
13,99,"acquisition","cs_plus_s",0,NA
13,100,"acquisition","cs_plus_s",0,NA
13,101,"acquisition","cs_minus_s",1,"reward"
13,102,"acquisition","cs_minus_ns",1,"reward"
13,103,"acquisition","cs_plus_ns",1,"shock"
13,104,"acquisition","cs_minus_s",1,"reward"
13,105,"acquisition","cs_plus_s",0,NA
13,106,"acquisition","cs_plus_ns",1,"shock"
13,107,"acquisition","cs_minus_s",1,"reward"
13,108,"acquisition","cs_minus_ns",1,"reward"
13,109,"acquisition","cs_minus_s",1,"reward"
13,110,"acquisition","cs_minus_ns",1,"reward"
13,111,"acquisition","cs_plus_ns",0,NA
13,112,"acquisition","cs_minus_ns",1,"reward"
13,113,"test","cs_minus_ns",NA,NA
13,114,"test","cs_plus_ns",NA,NA
13,115,"test","cs_plus_s",NA,NA
13,116,"test","cs_minus_s",NA,NA
13,117,"test","cs_minus_s",NA,NA
13,118,"test","cs_plus_ns",NA,NA
13,119,"test","cs_minus_ns",NA,NA
13,120,"test","cs_plus_s",NA,NA
13,121,"test","cs_minus_s",NA,NA
13,122,"test","cs_plus_s",NA,NA
13,123,"test","cs_minus_ns",NA,NA
